tipo,titulo,direccion,precio,terreno,construccion,hab,baños,estac,pisc
Apartamento En Renta,Amplio Apartamento Planta Baja En Exclusivo Conjunto Residencial Siete Mares,"av r-8, Diego Bautista Urbaneja, Lechería, Anzoategui",1580.0,145.0,145.0,3.0,3.0,2.0,False
Apartamento En Venta,Apartamento En Venta Conjunto Residencial Venecia Lechera,"Avenida Nueva Esparta, cruce con Cerro Sur, sector Venecia Lecheria, Diego Bautista Urbaneja, Lechería, Anzoategui",28000.0,85.0,85.0,,,,False
Apartamento En Venta,"Lechería, Res. Vista Bella. Av. Bolívar.","calle arismendi, Diego Bautista Urbaneja, Lechería, Anzoategui",130000.0,255.0,255.0,4.0,4.0,2.0,False
Apartamento En Renta,"En Alquiler Apartamento En Res, Coral Suites Con Excelente Ubicacion","av guzman lander, Diego Bautista Urbaneja, Lechería, Anzoategui",300.0,60.0,60.0,,,,False
Apartamento En Venta,Venta Hermoso Apartamento Conj Res Vistamar,"Intersección Av Jorge Rodríguez con la antigua via que conduce a Lecheria, Diego Bautista Urbaneja, Lechería, Anzoategui",19800.0,67.0,67.0,,,,False
Town House En Venta,CENTURY21 VENECIA OFRECE VENTA TH MODERNO NEVADA PALACE CONJUNTO EXCLUSIVO LEC,"NEVERI, Diego Bautista Urbaneja, Lechería, Anzoategui",190000.0,230.0,230.0,5.0,2.0,3.0,False
Apartamento En Venta,En Venta Apartamento En Lechería. C.R. Puerto Banus,"AV R16, Diego Bautista Urbaneja, Lechería, Anzoategui",46000.0,72.0,72.0,2.0,2.0,1.0,True
Local En Venta,LOCAL EN VENTA O ALQUILER NEGOCIABLE,"peñon del faro, Diego Bautista Urbaneja, Lechería, Anzoategui",26000.0,10.0,24.0,,,,False
Apartamento En Venta,VENTA DE APARTAMENTO VILLASOL SUITES GOLF & BEACH,"AV AMERICO VESPUCIO, Diego Bautista Urbaneja, Lechería, Anzoategui",40000.0,53.0,53.0,,,,False
Apartamento En Venta,En Venta Apartamento En C.R Chimana Grande,"Avenida intercomunal, Diego Bautista Urbaneja, Lechería, Anzoategui",20000.0,81.0,81.0,3.0,2.0,1.0,False
Apartamento En Venta,Resedencia Flamingo,"R16, Diego Bautista Urbaneja, Lechería, Anzoategui",55000.0,70.0,70.0,,,,False
Casa En Venta,"VENDO CASA EN CASAS BOTE A, Sector Aquavilla","Sector Aquavilla, Diego Bautista Urbaneja, Lechería, Anzoategui",220000.0,203.0,196.0,,,,False
Casa En Renta,Villa Ideal Para Vacacionar,"Avenida Camejo Octavio, Diego Bautista Urbaneja, Lechería, Anzoategui",1150.0,1.0,1.7,,,,False
Local En Venta,Local Comercial El Peñon,"peñon del faro, Diego Bautista Urbaneja, Lechería, Anzoategui",26000.0,21.0,21.0,,,,False
Apartamento En Venta,Apartamento Lecheria,"ARISMENDI, Diego Bautista Urbaneja, Lechería, Anzoategui",80000.0,125.0,125.0,,,,False
Apartamento En Venta,VENTA DE PRESTIGISO APARTAMENTO EN LAS MARINAS LECHERIAS,"COMPLEJOTURISTICO EL MORRO, Diego Bautista Urbaneja, Lechería, Anzoategui",125000.0,112.0,112.0,,,,False
Apartamento En Venta,CENTURY21 VENECIA OFRECE APARTAMENTO VENTA PLANTA BAJA C.R LAS MARINAS LECHERIA,"avenida r8, Diego Bautista Urbaneja, Lechería, Anzoategui",110000.0,90.0,90.0,2.0,2.0,1.0,False
Apartamento En Venta,COMODO APARTAMENTO EN VENTA LECHERIA,"AV R16, Diego Bautista Urbaneja, Lechería, Anzoategui",45000.0,52.0,52.0,1.0,1.0,1.0,True
Casa En Venta,CENTURY21 VENECIA OFRECE VENTA CASA LAS VILLAS CAMPO DE GOLF REMODELADA 440000,"LAS VILLAS LECHERIA, Diego Bautista Urbaneja, Lechería, Anzoategui",440000.0,1.084,450.0,,,,False
Apartamento En Renta,Se Alquila Apartamento Res. Villamar,"sector Cerro El Morro, Diego Bautista Urbaneja, Lechería, Anzoategui",400.0,70.0,70.0,1.0,1.0,1.0,True
Apartamento En Venta,APARTAMENTO EN VENTA EN LECHERIA CR ENTREMARES,"AV AMERICO VESPUCIO, Diego Bautista Urbaneja, Lechería, Anzoategui",65000.0,41.0,41.0,,,,False
Apartamento En Renta,APARTAMENTO EN ALQUILER VACACIONAL EN LECHERIA CR ENTREMARES,"AV AMERICO VESPUCIO, Diego Bautista Urbaneja, Lechería, Anzoategui",100.0,41.0,41.0,1.0,1.0,1.0,True
Local En Renta,Local Comercial En Alquiler En Lechería AV Anozategui,"av anzoategui, Diego Bautista Urbaneja, Lechería, Anzoategui",1500.0,186.0,186.0,,,,False
Casa En Venta,CASAS BOTES C,"Diego Bautista Urbaneja, Lechería, Anzoategui",280000.0,203.0,194.0,5.0,4.0,3.0,False
Apartamento En Renta,Conveniente Y Exclusivo Apartamento En El Conjunto Residencial Villa Solarieaga,"Av. Americo Vespucio, Diego Bautista Urbaneja, Lechería, Anzoategui",300.0,0.0,41.0,1.0,1.0,1.0,True
Local En Renta,Alquiler Local Comercial 40 M2 Avenida Principal De Lecheria,"Av principal de Lecheria, Diego Bautista Urbaneja, Lechería, Anzoategui",500.0,40.0,40.0,,,,False
Apartamento En Venta,"Apartamento En El Conjunto Residencial Terrazas Del Sol, Sector Pascal","Av. Intercomunal, Diego Bautista Urbaneja, Lechería, Anzoategui",25000.0,95.0,95.0,,,,False
Town House En Venta,Town House En Pueblo Viejo,"Americo Vespucio, Diego Bautista Urbaneja, Lechería, Anzoategui",230000.0,56.0,126.0,3.0,2.0,1.0,False
Apartamento En Venta,En Venta Cómodo Apartamento Con Hermosa Vista,"Sector Cerro Sur, Diego Bautista Urbaneja, Lechería, Anzoategui",60000.0,82.0,82.0,,,,False
Apartamento En Venta,APARTAMENTO DUPLEX C R TERRAMAR LECHERIA,"AVENIDA AMERICO VESPUCIO, Diego Bautista Urbaneja, Lechería, Anzoategui",190000.0,75.0,150.0,4.0,3.0,2.0,False
Casa Bote En Venta,Hermosa Casa Bote En El Sector C,"Av Camejo Octavio, Diego Bautista Urbaneja, Lechería, Anzoategui",230000.0,212.0,280.0,4.0,4.0,2.0,False
Apartamento En Renta,Lujoso Apartamento Ubicado En Las Residencias LAS CANOAS,"Avenida Américo Vespucio, Diego Bautista Urbaneja, Lechería, Anzoategui",3500.0,352.0,352.0,3.0,4.0,3.0,True
Casa En Venta,CASA BOTE B EN VENTA LECHERIA C.T EL MORRO,"Octavio Camejo, Diego Bautista Urbaneja, Lechería, Anzoategui",300000.0,364.0,364.0,,,,False
Apartamento En Venta,HERMOSO TOWN HOUSE CON MUELLE PROPIO EN ALQUILER VACACIONAL LECHERIA,"AV R16, Diego Bautista Urbaneja, Lechería, Anzoategui",120.0,125.0,125.0,3.0,2.0,2.0,True
Apartamento En Renta,HERMOSO TOWN HOUSE CON MUELLE PROPIO EN ALQUILER LECHERIA,"AV R16, Diego Bautista Urbaneja, Lechería, Anzoategui",1100.0,125.0,125.0,3.0,2.0,2.0,True
Casa En Venta,HERMOSA CASA QUINTA TIPO VILLA EN VENTA LECHERIA.,"AV CAMEJO OCTAVIOLECHERIA, Diego Bautista Urbaneja, Lechería, Anzoategui",430000.0,357.0,1.037,2.0,6.0,0.0,True
Apartamento En Venta,"HERMOSO APARTAMENTO, AMOBLADO Y EQUIPADO DE LUJO LECHERIA.","AV R8, Diego Bautista Urbaneja, Lechería, Anzoategui",365000.0,220.0,220.0,4.0,4.0,2.0,True
Town House En Venta,TOWN HOUSE 3 NIVELES VISTA AL MAR EN VENTA LECHERIA,"AV AMERICO VESPUCIO, Diego Bautista Urbaneja, Lechería, Anzoategui",340000.0,250.0,250.0,4.0,4.0,3.0,True
Local En Renta,ESTRATEGICO LOCAL COMERCIAL EN ALQUILER LECHERIA,"COMPLEJO TURISTICO EL MORRO, Diego Bautista Urbaneja, Lechería, Anzoategui",400.0,28.0,28.0,,,,False
Local En Renta,LOCAL COMERCIAL EN ALQUILER LECHERIA,"AV AMERICO VESPUCIO, Diego Bautista Urbaneja, Lechería, Anzoategui",400.0,28.0,28.0,,,,False
Apartamento En Venta,HERMOSO TOWN HOUSE CON MUELLE PROPIO EN VENTA LECHERIA,"AV R16, Diego Bautista Urbaneja, Lechería, Anzoategui",135000.0,125.0,125.0,3.0,2.0,2.0,True
Apartamento En Renta,Alquiler Vacacional En Lecheria Con Excelente Ubicacion,"Calle Arismendi, Diego Bautista Urbaneja, Lechería, Anzoategui",70.0,57.0,57.0,1.0,1.0,1.0,True
Apartamento En Venta,Apartamento Con Vista Al Mar,"Boulevard Playa Lido, Diego Bautista Urbaneja, Lechería, Anzoategui",37000.0,65.0,65.0,1.0,2.0,1.0,True
Casa En Renta,Casa En Alquiler,"Completo turistico el morro, Diego Bautista Urbaneja, Lechería, Anzoategui",1000.0,202.0,196.0,,,,False
Apartamento En Venta,EN VENTA HERMOSO APARTAMENTO EN EL C.R. FRANCISQUI,"AV. Américo Vespucio, Diego Bautista Urbaneja, Lechería, Anzoategui",450000.0,276.0,276.0,,,,False
Apartamento En Venta,Apartamento En Venta Lechería C R Thai,"R-8, Diego Bautista Urbaneja, Lechería, Anzoategui",85000.0,70.0,70.0,3.0,2.0,2.0,False
Apartamento En Venta,HERMOSO Y MODERNO APARTAMENTO EN VENTA LECHERIA,"AV LA COSTA, Diego Bautista Urbaneja, Lechería, Anzoategui",120000.0,93.0,93.0,2.0,2.0,1.0,True
Apartamento En Venta,En Venta Hermoso Apartamento En El Conjunto Residencial ( Palma Real ),"Av Bolivar, Diego Bautista Urbaneja, Lechería, Anzoategui",72000.0,114.0,114.0,3.0,2.0,2.0,False
Apartamento En Renta,Apartamento En Alquiler. Lechería. Estado Anzoátegui.,"Calle el Parque con Calle Arismendi, Diego Bautista Urbaneja, Lechería, Anzoategui",500.0,0.0,85.0,,,,False
Apartamento En Venta,Apartamento En Av. Bolivar Residencias Karol.,"Bolivar, Diego Bautista Urbaneja, Lechería, Anzoategui",70000.0,100.0,100.0,,,,False
Apartamento En Renta,Apartamento En Planta Baja Amoblado Y Equipado,"Avenida R8, Diego Bautista Urbaneja, Lechería, Anzoategui",100.0,72.0,72.0,3.0,2.0,1.0,True
Apartamento En Venta,Hermoso Y Moderno Apartamento De 2 Habitaciones Frente Al Mar Playa Lido,"Calle Pobre Negro, Diego Bautista Urbaneja, Lechería, Anzoategui",95000.0,72.0,72.0,,,,False
Apartamento En Renta,APARTAMENTO EN ALQUILER EN LECHERIA C.R VILLASOL SUITES,"AV AMERICO VESPUCIO, Diego Bautista Urbaneja, Lechería, Anzoategui",500.0,135.0,135.0,,,,False
Town House En Venta,TOWNHOUSE LAS MARINAS,"R-8, Diego Bautista Urbaneja, Lechería, Anzoategui",420000.0,390.0,390.0,,,,False
Local En Renta,"Se Alquila Local Comercial En Alquiler,En El Centro Comecial (G)","Calle las Peñas, Diego Bautista Urbaneja, Lechería, Anzoategui",250.0,22.0,22.0,,,,False
Local En Renta,Casa De Uso Comercial En Lecheria,"Calla Númro 4 con carrera 7 y 8, Diego Bautista Urbaneja, Lechería, Anzoategui",2000.0,0.0,270.0,,,,False
Town House En Renta,"Casa En Alquiler En Pueblo Viejo,","Pueblo Viejo, Diego Bautista Urbaneja, Lechería, Anzoategui",1000.0,150.0,150.0,3.0,3.0,1.0,False
Oficinas En Venta,En Venta Local Oficina En Lechería,"Av. Principal Lechería. C.C Plaza Mayor, Diego Bautista Urbaneja, Lechería, Anzoategui",45000.0,65.0,65.0,,,,False
Oficinas En Renta,En Alquiler Local Oficina En Lechería,"Av. Principal Lechería. C.C Plaza Mayor, Diego Bautista Urbaneja, Lechería, Anzoategui",400.0,65.0,65.0,,,,False
Apartamento En Renta,APARTAMENTO EN ALQUILER EN LECHERIA C.R EL CARDON,"EL MORRO, Diego Bautista Urbaneja, Lechería, Anzoategui",500.0,101.0,101.0,,,,False
Oficinas En Renta,Alquiler Mensual Oficina Administrativa,"Calle Cesar Pereira, Diego Bautista Urbaneja, Lechería, Anzoategui",750.0,95.0,95.0,,,,False
Casa En Venta,"Casa En Venta En Marina Club, Lechería","Av R8, Diego Bautista Urbaneja, Lechería, Anzoategui",259000.0,327.0,187.0,4.0,3.0,3.0,False
Town House En Venta,Bello Townhouse En Venta En Aguamarina,"Av. Daniel Camejo Obtaviano calle R-9, Diego Bautista Urbaneja, Lechería, Anzoategui",83000.0,103.0,103.0,3.0,2.0,2.0,True
Apartamento En Venta,APARTAMENTO EN VENTA LECHERIA C R PUERTO BANUS,"Av. R16, Diego Bautista Urbaneja, Lechería, Anzoategui",55000.0,82.0,82.0,3.0,3.0,2.0,True
Oficinas En Venta,Oficina Moderna En La Torre BVC,"Diego Bautista Urbaneja, Lechería, Anzoategui",135000.0,0.0,201.0,,,,False
Casa En Venta,Casa El Araguaney,"El Araguaney, Diego Bautista Urbaneja, Lechería, Anzoategui",125000.0,456.0,300.0,,,,False
Apartamento En Venta,EN VENTA APARTAMENTO EN EL C.R. PLAZA MARINA,"Av. Americo Vespucio, Diego Bautista Urbaneja, Lechería, Anzoategui",45000.0,56.0,56.0,,,,False
Town House En Venta,Estupendo Inmueble En El Cotizado Conjunto Residencial Pueblo Viejo:,"pueblo viejo, Diego Bautista Urbaneja, Lechería, Anzoategui",220000.0,183.0,140.0,3.0,2.0,1.0,False
Local En Venta,Century21 Ofrece Local Comercial En El Centro Comercial Mar Azul.,"Diego Bautista Urbaneja, Diego Bautista Urbaneja, Lechería, Anzoategui",250000.0,150.0,150.0,,,,False
Apartamento En Venta,Se Ofrece En Venta Apartamento De Residencia Las Hernandas,"Av.Bolivar, lecheria, Diego Bautista Urbaneja, Lechería, Anzoategui",28.0,42.0,42.0,,,,False
Negocio En Renta,Local En Alquiler En El C.C PLAZA MAYOR,"Av. Diego Bautista Urbaneja, Diego Bautista Urbaneja, Lechería, Anzoategui",300.0,28.0,28.0,,,,False
Town House En Renta,TOWN HOUSE 3 NIVELES EN ALQUILER,"PUEBLO VIEJO, Diego Bautista Urbaneja, Lechería, Anzoategui",1000.0,117.0,117.0,3.0,3.0,1.0,True
Town House En Venta,TOWN HOUSE EN VENTA EN LECHERIA,"AV OCTAVIO CAMEJO, Diego Bautista Urbaneja, Lechería, Anzoategui",85000.0,162.0,162.0,1.0,3.0,120.0,True
Casa En Venta,CASA 3 NIVELES EN VENTA,"AV AMERICO VESPUCIO, Diego Bautista Urbaneja, Lechería, Anzoategui",125000.0,155.0,155.0,3.0,3.0,2.0,True
Town House En Venta,EN VENTA TOWN HOUSE EN EL CONJUNTO RESIDENCIAL PUEBLO VIEJO,"Complejo turístico el Morro, Diego Bautista Urbaneja, Lechería, Anzoategui",250000.0,148.0,148.0,,,,False
Apartamento En Venta,HERMOSO APARTAMENTO EN VENTA,"AV BOULEVARD, Diego Bautista Urbaneja, Lechería, Anzoategui",77000.0,62.0,62.0,2.0,2.0,2.0,True
Casa En Venta,HERMOSA CASA QUINTA EN VENTA,"AV AMERICO VESPUCIO, Diego Bautista Urbaneja, Lechería, Anzoategui",380000.0,420.0,253.0,,,,False
Town House En Renta,HERMOSO TOWN HOUSE EN ALQUILER VACACIONAL,"AV AMERICO VESPUCIO, Diego Bautista Urbaneja, Lechería, Anzoategui",120.0,117.0,117.0,3.0,3.0,0.0,True
Apartamento En Renta,HERMOSO Y COMODO APARTAMENTO EN ALQUILER,"MARINA MAR, Diego Bautista Urbaneja, Lechería, Anzoategui",600.0,93.0,93.0,2.0,2.0,1.0,False
Casa En Venta,AMPLIA CASA EN VENTA LECHERIA,"SECTOR MORRO 1, Diego Bautista Urbaneja, Lechería, Anzoategui",295000.0,975.0,975.0,,,,False
Apartamento En Venta,AMPLIO APARTAMENTO TIPO ESTUDIO EN VENTA,"PUERTO PRINCIPE, Diego Bautista Urbaneja, Lechería, Anzoategui",32000.0,62.0,62.0,1.0,1.0,1.0,True
Apartamento En Venta,Hermoso Apartamento Dúplex En Isla Paraíso Lechería,"COMPLEJO TURÍSTICO EL MORRO, Diego Bautista Urbaneja, Lechería, Anzoategui",140000.0,114.0,114.0,,,,False
Apartamento En Venta,CENTURY21 VENECIA OFRECE APARTAMENTO DUPLEX ISLA IDHRA C.R PUEBLO VIEJO 90.000,"av americo vespucio, Diego Bautista Urbaneja, Lechería, Anzoategui",90000.0,108.0,108.0,3.0,2.0,1.0,False
Apartamento En Renta,APARTAMENTO AMOBLADO Y EQUIPADO EN ALQUILER,"R-16, Diego Bautista Urbaneja, Lechería, Anzoategui",550.0,66.0,66.0,2.0,2.0,1.0,False
Apartamento En Venta,APARTAMENTO AMOBLADO Y EQUIPADO EN VENTA,"R-16, Diego Bautista Urbaneja, Lechería, Anzoategui",63000.0,66.0,66.0,2.0,2.0,1.0,False
Apartamento En Venta,APARTAMENTO EN VENTA SOLARENA NORTE,"Arismendi, Diego Bautista Urbaneja, Lechería, Anzoategui",85000.0,130.0,130.0,,,,False
Apartamento En Venta,Hermoso Y Amplio Apartamento Ubicado En El Conjunto Residencial Valle Canal,"Arismendi, Diego Bautista Urbaneja, Lechería, Anzoategui",50000.0,102.0,102.0,2.0,2.0,1.0,True
Local En Renta,EN ALQUILER LOCA EN EL CENTRO EMPRESARIAL. MAR PACIFICO,"Plaza el Parque, Diego Bautista Urbaneja, Lechería, Anzoategui",800.0,40.0,40.0,,,,False
Local En Venta,EN VENTA CONCESIONARIO ASSA ORIENTE,"AV. PRINCIPAL, Diego Bautista Urbaneja, Lechería, Anzoategui",3000000.0,4.0,4.0,,,,False
Casa En Venta,HERMOSA CASA EN VENTA EN EL CONJUNTO RESIDENCIAL LAS VILLAS,"Av. Diego Bautista Urbaneja, Diego Bautista Urbaneja, Lechería, Anzoategui",1000000.0,1.45,1.45,,,,False
Local En Renta,IDEAL LOCAL COMERCIAL EN ALQUILER EN EL C.E. MAR PACIFICO,"Plaza el Parque, Diego Bautista Urbaneja, Lechería, Anzoategui",380.0,28.0,28.0,,,,False
Apartamento En Renta,COMODO ALQUILER EN PRINCIPAL DE LECHERIA PARA EJECUTIVOS RESIDENCIAS MAYA,"Diego Bautista Urbaneja, Diego Bautista Urbaneja, Lechería, Anzoategui",330.0,113.0,113.0,,,,False
Casa En Venta,HERMOSA CASA EN EL C.R. LAS VILLAS EN VENTA,"Av. Daniel Octavio Camejo, Diego Bautista Urbaneja, Lechería, Anzoategui",1600000.0,1.445,870.0,,,,False
Apartamento En Venta,"Se Ofrece En Venta Apartamento Con Vista Al Mar,Conjunto Residencial Villamar","Complejo turistico el Morro, Diego Bautista Urbaneja, Lechería, Anzoategui",49600.0,70.0,70.0,,,,False
Apartamento En Venta,"Acogedor Apartamento En El CONJUNTO RESIDENCIAL DORAL BEACH, Puerto La Cruz.","AV. AMERICO VESPUCIO, Diego Bautista Urbaneja, Lechería, Anzoategui",25000.0,95.0,95.0,3.0,2.0,1.0,False
Apartamento En Venta,CORAL PLAZA APARTAMENTO EN VENTA,"avenida américo Vespucio, Diego Bautista Urbaneja, Lechería, Anzoategui",75000.0,137.0,137.0,3.0,3.0,2.0,False
Apartamento En Venta,PUERTO BANUS LECHERIA,"R-16, Diego Bautista Urbaneja, Lechería, Anzoategui",52500.0,76.0,76.0,,,,False
Town House En Venta,EN VENTA TOWNHOUSE EN OBRA GRIS,"avenida araguaney, Diego Bautista Urbaneja, Lechería, Anzoategui",120000.0,494.0,250.0,,,,False
Apartamento En Renta,Se Alquila Hermoso Apartamento,"avenida Guzman Lander, Diego Bautista Urbaneja, Lechería, Anzoategui",280.0,35.0,35.0,1.0,1.0,1.0,False
Apartamento En Renta,En Alquiler Vacacional O Por Dias En Lecheria,"Diego Bautista Urbaneja, Lechería, Anzoategui",60.0,47.0,47.0,1.0,1.0,1.0,True
Casa En Venta,Se Vende Amplia Casa En La Calle Arismendi De Lecheria,"ARISMENDI, Diego Bautista Urbaneja, Lechería, Anzoategui",220000.0,450.0,450.0,,,,False
Casa En Venta,En Venta Hermoso Palafito En Casas Bote B,"Diego Bautista Urbaneja, Lechería, Anzoategui",285000.0,254.0,194.0,4.0,3.0,4.0,True
Apartamento En Renta,AMPLIO APARTAMENTO EN ALQUILER VACACIONAL LECHERIA C R CORAL CLUB,"Diego Bautista Urbaneja, Lechería, Anzoategui",80.0,115.0,115.0,,,,False
Penthouse En Venta,APARTAMENTO EN VENTA EN LECHERIA C R KARLA VALENTINA PLAYA MANSA LECHERIA,"Av Boulevar, Diego Bautista Urbaneja, Lechería, Anzoategui",250000.0,250.0,250.0,5.0,5.0,2.0,True
Casa Bote En Venta,CASA BOTE B EN VENTA LECHERIA,"Octavio Camejo, Diego Bautista Urbaneja, Lechería, Anzoategui",350000.0,364.0,364.0,5.0,5.0,2.0,True
Oficinas En Venta,OFICINA EN VENTA C C LA RESERVE LECHERIA,"CALLE GUAICAIPURO, Diego Bautista Urbaneja, Lechería, Anzoategui",250000.0,160.0,160.0,,,,False
Apartamento En Venta,APARTAMENTO EN VENTA EN OBRA GRIS RES. MONARCA LECHERIA,"AVENIDA BOULEVAR, Diego Bautista Urbaneja, Lechería, Anzoategui",100000.0,110.0,110.0,3.0,2.0,2.0,False
Apartamento En Venta,APARTAMENTO EN VENTA LECHERIA C R DINASTIA SUITES LECHERIA,"CASCO CENTRAL, Diego Bautista Urbaneja, Lechería, Anzoategui",150000.0,280.0,280.0,3.0,3.0,3.0,True
Casa En Venta,CASA EN VENTA USO COMERCIAL Y RESIDENCIAL SECTOR LAS GARZAS LECHERIA,"Av. Intercomunal Jorge Rodríguez, Diego Bautista Urbaneja, Lechería, Anzoategui",95000.0,503.0,281.0,,,,False
Apartamento En Venta,EN VENTA APARTAMENTO EN LECHERIA EDIF. RORAIMA SUITES,"AVENIA BOLIVAR, Diego Bautista Urbaneja, Lechería, Anzoategui",90000.0,110.0,110.0,3.0,2.0,2.0,False
Apartamento En Venta,APARTAMENTO EN VENTA EN LECHERIA EDIF. COSTA BRAVA,"CASCO CENTRAL, Diego Bautista Urbaneja, Lechería, Anzoategui",110000.0,110.0,110.0,3.0,2.0,2.0,True
Local En Renta,LOCAL COMERCIAL EN ALQUILER LECHERIA ANCORA CENTRO EMPRESARIAL,"AVENIDA PRINCIPAL DE LECHERIA, Diego Bautista Urbaneja, Lechería, Anzoategui",450.0,40.0,40.0,,,,False
Local En Renta,LOCAL COMERCIAL EN ALQUILER LECHERIA ANCORA CENTRO EMPRESARIAL,"AVENIDA PRINCIPAL DE LECHERIA, Diego Bautista Urbaneja, Lechería, Anzoategui",450.0,35.0,35.0,,,,False
Local En Renta,LOCAL COMERCIAL EN ALQUILER LECHERIA ANCORA CENTRO EMPRESARIAL,"AVENIDA PRINCIPAL DE LECHERIA, Diego Bautista Urbaneja, Lechería, Anzoategui",550.0,44.0,44.0,,,,False
Casa En Venta,CASA BOTE C LECHERIA VENTA,"CAMEJO OCTAVIO, Diego Bautista Urbaneja, Lechería, Anzoategui",390000.0,200.0,400.0,4.0,5.0,3.0,True
Apartamento En Venta,APARTAMENTO EN VENTA RES. MONARCA LECHERIA,"AVENIDA BOULEVARD, Diego Bautista Urbaneja, Lechería, Anzoategui",120000.0,110.0,110.0,3.0,2.0,2.0,False
Apartamento En Venta,APARTAMENTO EN VENTA RES. MONARCA LECHERIA,"AVENIDA BOULEVARD, Diego Bautista Urbaneja, Lechería, Anzoategui",432000.0,362.0,362.0,6.0,6.0,2.0,True
Apartamento En Venta,En Venta Apartamento En El CR Dinastía III,"Av. Bolivar, Diego Bautista Urbaneja, Lechería, Anzoategui",68000.0,72.0,72.0,1.0,2.0,1.0,False
Apartamento En Renta,Alquiler Vacacional Con Hermosa Vista Al Mar,"AV BOULEVARD LIDO, Diego Bautista Urbaneja, Lechería, Anzoategui",60.0,43.0,43.0,0.0,1.0,1.0,True
Casa En Venta,CASA EN VENTA EN LECHERIA C R LAS VILLAS,"AVENIDA AMERICO VESPUCIO, Diego Bautista Urbaneja, Lechería, Anzoategui",950000.0,1.2,1.07,,,,False
Casa En Renta,CASA EN ALQUILER EN LECHERIA C R LAS VILLAS,"AVENIDA AMERICO VESPUCIO, Diego Bautista Urbaneja, Lechería, Anzoategui",5000.0,1.2,1.07,,,,False
Oficinas En Renta,Exclusiva Oficina Moderna Y Amoblada Ubicada En El Centro Empresarial Y2K,"Av. Principal de lecheria, Diego Bautista Urbaneja, Lechería, Anzoategui",800.0,51.0,51.0,,,,False
Apartamento En Venta,Espectacular Carenero De Lujo 130m2,"R-16, Diego Bautista Urbaneja, Lechería, Anzoategui",275000.0,130.0,130.0,2.0,2.0,2.0,False
Apartamento En Renta,Acogedor Apartamento En Alquiler Vacacional Con Vista Al Mar En Francisqui,"Av Americo Vespucio, Diego Bautista Urbaneja, Lechería, Anzoategui",160.0,71.0,71.0,,,,False
Penthouse En Venta,"Hermoso, Amplio Y Lujoso PH DUPLEX, Ubicado En El Corazón De Lecheria.","CALLEJON LIBERTAD, DE LA CIUDAD DE LECHERIA, Diego Bautista Urbaneja, Lechería, Anzoategui",100000.0,150.0,150.0,,,,False
Town House En Venta,Townhouse En Venta En Lechería C.R Las Marinas Golf,"R-8, Diego Bautista Urbaneja, Lechería, Anzoategui",255000.0,273.0,273.0,4.0,4.0,2.0,True
Casa En Venta,Casa En Venta En Complejo Turístico El Morro CR Puerto Príncipe,"Diego Bautista Urbaneja, Lechería, Anzoategui",128000.0,125.0,217.0,,,,False
Apartamento En Venta,Apartamento En Venta En El CR Costa Dorada Con Vista Al Mar,"Lido, Diego Bautista Urbaneja, Lechería, Anzoategui",80000.0,68.0,69.0,2.0,2.0,1.0,True
